Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,47u,CP_EIA-3528-12_Kemet-T,163.374875,-55.659438,0,top
C3,0.047u,C_0603_HandSoldering,169.724875,-60.419438,90,top
C4,0.047u,C_0603_HandSoldering,188.774875,-104.427438,180,top
C5,0.047u,C_0603_HandSoldering,183.186875,-119.413438,180,top
C6,0.047u,C_0603_HandSoldering,106.906875,-67.679438,180,top
C7,0.047u,C_0603_HandSoldering,118.406875,-62.429438,-90,top
C8,0.047u,C_0603_HandSoldering,97.588875,-73.679438,90,top
C14,27p,C_0402_1005Metric,155.306875,-67.179438,-90,top
C15,27p,C_0402_1005Metric,159.818875,-62.898438,0,top
C16,10u,C_0805_2012Metric,91.746875,-78.773438,-90,top
C17,100n,C_0402_1005Metric,139.106875,-64.879438,180,top
C18,10u,C_0805_2012Metric,102.076875,-92.719438,0,top
C19,100n,C_0402_1005Metric,155.706875,-62.179438,0,top
C20,100n,C_0402_1005Metric,139.106875,-65.979438,180,top
C21,1u,C_0402_1005Metric,141.406875,-61.179438,180,top
C22,100n,C_0402_1005Metric,155.706875,-63.379438,0,top
C23,1u,C_0402_1005Metric,141.406875,-60.179438,180,top
C24,100n,C_0402_1005Metric,140.906875,-71.429438,-90,top
C25,100n,C_0402_1005Metric,155.754875,-71.153438,-90,top
C26,100n,C_0402_1005Metric,144.206875,-58.707438,90,top
C27,100n,C_0402_1005Metric,151.436875,-56.929438,0,top
C28,100n,C_0402_1005Metric,143.006875,-58.580438,90,top
C29,100n,C_0402_1005Metric,91.746875,-81.849438,90,top
C30,100n,C_0402_1005Metric,128.957875,-63.533438,90,top
C31,100n,C_0402_1005Metric,132.005875,-70.264438,-90,top
C32,100n,C_0402_1005Metric,140.97,-85.344,90,top
D1,"CUS10S30,H3F",D_SOD-323,98.866875,-93.671938,-90,top
D2,M7C,D_SOD-123,117.406875,-90.689438,180,top
D5,"CUS10S30,H3F",D_SOD-323,145.340875,-53.881438,180,top
F1,Fuse,Fuse_1206_3216Metric,114.406875,-56.679438,0,top
J2,Conn_01x04_Female,PinHeader_1x04_P2.00mm_Vertical,147.626875,-100.823438,180,bottom
J4,Conn_01x04_Male,PinHeader_1x04_P2.00mm_Vertical,181.662875,-107.221438,180,bottom
J9,USB_B_Micro,USB_Micro-B_Amphenol_10118194_Horizontal,94.146875,-102.569438,0,top
Q1,Q_NMOS_GSD,SOT-23,114.906875,-60.179438,0,top
Q2,Q_PMOS_GDS,SOT-23,110.106875,-58.779438,90,top
Q3,Q_NMOS_GSD,SOT-23,119.196875,-57.929438,90,top
R1,180,R_0402_1005Metric,124.512875,-77.179438,-90,top
R2,180,R_0402_1005Metric,125.012875,-75.479438,180,top
R3,2k,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,192.724875,-104.427438,0,top
R4,2k,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,187.136875,-119.413438,0,top
R5,2k,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,110.819375,-67.679438,0,top
R6,2k,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,97.588875,-77.679438,-90,top
R7,180,R_0402_1005Metric,126.762875,-75.979438,90,top
R8,180,R_0402_1005Metric,126.762875,-78.079438,90,top
R9,180,R_0402_1005Metric,125.462875,-79.679438,90,top
R10,316,R_0402_1005Metric,128.512875,-75.479438,0,top
R11,100R,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,129.592875,-54.389438,180,top
R12,100R,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,129.592875,-55.913438,180,top
R13,10k,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,106.986875,-58.707438,90,top
R14,10k,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,129.592875,-57.691438,0,top
R15,10k,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,130.354875,-51.849438,-90,top
R16,1k,R_0402_1005Metric,131.406875,-63.179438,90,top
R17,100k,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,99.426875,-102.959438,90,top
R18,1k,R_0402_1005Metric,155.706875,-64.579438,0,top
R19,316,R_0402_1005Metric,128.512875,-76.679438,0,top
R20,27,R_0402_1005Metric,141.406875,-63.179438,0,top
R21,27,R_0402_1005Metric,141.406875,-62.179438,0,top
R24,316,R_0402_1005Metric,128.512875,-77.879438,0,top
R25,316,R_0402_1005Metric,128.512875,-79.079438,0,top
S1,BOOTSEL,SW_TS-1187A-B-A-B,135.906875,-57.341938,-90,top
U1,MCP3002,SOIC-8_3.9x4.9mm_P1.27mm,142.800875,-90.203438,0,top
U2,MCP3002,SOIC-8_3.9x4.9mm_P1.27mm,124.606875,-65.979438,-90,top
U3,DRV5055Z3QDBZT,SOT-23,114.366875,-75.849688,0,top
U4,DRV5055Z3QDBZT,SOT-23,105.648203,-84.569438,-90,top
U6,AMS1117-3.3,SOT-223-3_TabPin2,92.666875,-94.519438,180,top
U7,W25Q128JVS,SOIC-8_5.23x5.23mm_P1.27mm,135.406875,-73.179438,0,top
U8,RP2040,RP2040-QFN-56,148.406875,-64.179438,90,top
U10,DRV5055Z3QDBZT,SOT-23,188.466397,-114.924301,180,top
U11,DRV5055Z3QDBZT,SOT-23,197.434127,-106.189462,90,top
U12,USBLC6-2P6,SOT-666,98.666875,-98.829438,-90,top
U13,USBLC6-2P6,SOT-666,141.530875,-53.627438,90,top
Y1,Crystal_GND24,Crystal_SMD_3225-4Pin_3.2x2.5mm,159.306875,-65.829438,180,top
